DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,County Lookup,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta,County,SchoolZipCleaned
Public School District,Secondary 9-12,40001,Lead-Deadwood 40-1,10,Lead-Deadwood Career & Technical Education - 10,22023 Job Corps Ctr,Nemo,SD,57759,Nemo SD,40001.0,Lead-Deadwood 40-1            ,10.0,Lead-Deadwood Career & Tech Ed          ,9.0,15.0,9.0,15.0,1.0,1.0,,57759
Public School District,Secondary 9-12,40001,Lead-Deadwood 40-1,1,Lead-Deadwood High School - 01,320 S Main St,Lead,SD,57754-1548,Lead SD,40001.0,Lead-Deadwood 40-1            ,1.0,Lead-Deadwood High School               ,55.0,55.0,55.0,55.0,1.0,1.0,,57754
Public School District,Secondary 9-12,52004,Lemmon 52-4,1,Lemmon High School - 01,209 3rd St W,Lemmon,SD,57638-1137,Lemmon SD,52004.0,Lemmon 52-4                   ,1.0,Lemmon High School                      ,20.0,24.0,20.0,24.0,1.0,1.0,,57638
Public School District,Secondary 9-12,41004,Lennox 41-4,1,Lennox High School - 01,1201 S Main St,Lennox,SD,57039,Lennox SD,41004.0,Lennox 41-4                   ,1.0,Lennox High School                      ,68.0,74.0,68.0,74.0,1.0,1.0,,57039
Public School District,Secondary 9-12,44002,Leola 44-2,1,Leola High School - 01,820 Leola Ave,Leola,SD,57456-0350,Leola SD,44002.0,Leola 44-2                    ,1.0,Leola High School                       ,9.0,9.0,9.0,9.0,1.0,1.0,,57456
Public School District,Secondary 9-12,42001,Lyman 42-1,1,Lyman High School - 01,201 S Birch Ave,Presho,SD,57568,Presho SD,42001.0,Lyman 42-1                    ,1.0,Lyman High School                       ,23.0,33.0,23.0,33.0,1.0,1.0,,57568
Public School District,Secondary 9-12,39002,Madison Central 39-2,1,Madison High School - 01,800 NE 9th St,Madison,SD,57042-1199,Madison SD,39002.0,Madison Central 39-2          ,1.0,Madison High School                     ,96.0,88.0,96.0,88.0,1.0,1.0,,57042
Public School District,Secondary 9-12,60003,Marion 60-3,1,Marion High School - 01,100 S Cedar St,Marion,SD,57043,Marion SD,60003.0,Marion 60-3                   ,1.0,Marion High School                      ,10.0,12.0,10.0,12.0,1.0,1.0,,57043
Public School District,Secondary 9-12,43007,McCook Central 43-7,1,McCook Central High School - 01,200 E Essex Ave,Salem,SD,57058-0310,Salem SD,43007.0,McCook Central 43-7           ,1.0,McCook Central Hi Sch                   ,33.0,33.0,33.0,33.0,1.0,1.0,,57058
Public School District,Secondary 9-12,15001,McIntosh 15-1,1,McIntosh High School - 01,135 Main St,McIntosh,SD,57641,McIntosh SD,15001.0,McIntosh 15-1                 ,1.0,McIntosh High School                    ,9.0,7.0,9.0,7.0,1.0,1.0,,57641
Public School District,Secondary 9-12,15002,McLaughlin 15-2,1,McLaughlin High School - 01,701 S Main St,McLaughlin,SD,57642,McLaughlin SD,15002.0,McLaughlin 15-2               ,1.0,McLaughlin High School                  ,23.0,21.0,23.0,21.0,1.0,1.0,,57642
Public School District,Secondary 9-12,46001,Meade 46-1,1,Sturgis Brown High School - 01,12930 E Hwy 34,Sturgis,SD,57785,Sturgis SD,46001.0,Meade 46-1                    ,1.0,Sturgis Brown HS                        ,151.0,157.0,151.0,157.0,1.0,1.0,,57785
Public School District,Secondary 9-12,33002,Menno 33-2,1,Menno High School - 01,410 S 5th St,Menno,SD,57045-0346,Menno SD,33002.0,Menno 33-2                    ,1.0,Menno High School                       ,16.0,11.0,16.0,11.0,1.0,1.0,,57045
Public School District,Secondary 9-12,25004,Milbank 25-4,1,Milbank High School - 01,1001 E Park Ave,Milbank,SD,57252,Milbank SD,25004.0,Milbank 25-4                  ,1.0,Milbank High School                     ,89.0,89.0,89.0,89.0,1.0,1.0,,57252
Public School District,Secondary 9-12,29004,Miller 29-4,1,Miller High School - 01,623 E 4th St,Miller,SD,57362-0257,Miller SD,29004.0,Miller                        ,1.0,Miller High School                      ,25.0,26.0,25.0,26.0,1.0,1.0,,57362
Public School District,Secondary 9-12,17002,Mitchell 17-2,7,Abbott House High School - 07,909 Court Merrill St,Mitchell,SD,57301,Mitchell SD,17002.0,Mitchell 17-2                 ,7.0,Abbott House HS                         ,2.0,6.0,2.0,6.0,1.0,1.0,,57301
Public School District,Secondary 9-12,17002,Mitchell 17-2,1,Mitchell High School - 01,920 N Capital St,Mitchell,SD,57301,Mitchell SD,17002.0,Mitchell 17-2                 ,1.0,Mitchell High School                    ,203.0,179.0,203.0,179.0,1.0,1.0,,57301
Public School District,Secondary 9-12,62006,Mobridge-Pollock 62-6,1,Mobridge High School - 01,1107 1st Ave E,Mobridge,SD,57601,Mobridge SD,62006.0,Mobridge-Pollock 62-6         ,1.0,Mobridge High School                    ,58.0,54.0,58.0,54.0,1.0,1.0,,57601
Public School District,Secondary 9-12,43002,Montrose 43-2,1,Montrose High School - 01,309 S Church Ave,Montrose,SD,57048-9528,Montrose SD,43002.0,Montrose 43-2                 ,1.0,Montrose High School                    ,19.0,14.0,19.0,14.0,1.0,1.0,,57048
Public School District,Secondary 9-12,17003,Mount Vernon 17-3,1,Mount Vernon High School- 01,500 N Main St,Mount Vernon,SD,57363-0046,Mount Vernon SD,17003.0,Mount Vernon 17-3             ,1.0,Mount Vernon High School                ,19.0,15.0,19.0,15.0,1.0,1.0,,57363
Public School District,Secondary 9-12,51003,New Underwood 51-3,1,New Underwood High School - 01,300 E Ash St,New Underwood,SD,57761,New Underwood SD,51003.0,New Underwood 51-3            ,1.0,New Underwood Hi Sch                    ,20.0,13.0,20.0,13.0,1.0,1.0,,57761
Public School District,Secondary 9-12,9002,Newell 09-2,1,Newell High School - 01,501 Dartmouth Ave,Newell,SD,57760,Newell SD,9002.0,Newell 09-2                   ,1.0,Newell High School                      ,23.0,25.0,23.0,25.0,1.0,1.0,,57760
Public School District,Secondary 9-12,56007,Northwestern Area 56-7,1,Northwestern High School - 01,221 3rd St,Mellette,SD,57461,Mellette SD,56007.0,Northwestern Area 56-7        ,1.0,Northwestern High School                ,17.0,12.0,17.0,12.0,1.0,1.0,,57461
Public School District,Secondary 9-12,23003,Oelrichs 23-3,1,Oelrichs High School - 01,214 W 7th St,Oelrichs,SD,57763,Oelrichs SD,23003.0,Oelrichs 23-3                 ,1.0,Oelrichs High School                    ,15.0,10.0,15.0,10.0,1.0,1.0,,57763
Public School District,Virtual Secondary 9-12,65001,Oglala Lakota County 65-1,92,Oglala Lakota County Virtual High School - 92,206 School St,Batesland,SD,57716,Batesland SD,65001.0,Oglala Lakota 65-1            ,92.0,Oglala Lakota County Virtual High School,19.0,7.0,19.0,7.0,1.0,1.0,,57716
Public School District,Secondary 9-12,39005,Oldham-Ramona 39-5,1,Oldham-Ramona High School - 01,220 W 2nd St,Ramona,SD,57054,Ramona SD,39005.0,Oldham-Ramona 39-5            ,1.0,Oldham-Ramona High School               ,6.0,12.0,6.0,12.0,1.0,1.0,,57054
Public School District,Secondary 9-12,39005,Oldham-Ramona 39-5,5,Spring Lake Colony High School - 05,21727 452nd Ave,Arlington,SD,57212,Arlington SD,39005.0,Oldham-Ramona 39-5            ,5.0,Spring Lake Colony HS                   ,1.0,0.0,1.0,0.0,1.0,,,57212
Public School District,Secondary 9-12,60004,Parker 60-4,1,Parker High School - 01,335 W 1st St,Parker,SD,57053-0517,Parker SD,60004.0,Parker 60-4                   ,1.0,Parker High School                      ,26.0,21.0,26.0,21.0,1.0,1.0,,57053
Public School District,Aux Placement,33003,Parkston 33-3,88,Our Home - 88,102A S Chapman Dr,Parkston,SD,57366,Parkston SD,33003.0,Parkston 33-3                 ,88.0,Our Home                                ,5.0,2.0,5.0,2.0,1.0,1.0,,57366
Public School District,Secondary 9-12,33003,Parkston 33-3,1,Parkston High School - 01,102A S Chapman Dr,Parkston,SD,57366,Parkston SD,33003.0,Parkston 33-3                 ,1.0,Parkston High School                    ,34.0,41.0,34.0,41.0,1.0,1.0,,57366
Public School District,Secondary 9-12,32002,Pierre 32-2,1,T.F. Riggs High School - 01,1010 E Broadway Ave,Pierre,SD,57501,Pierre SD,32002.0,Pierre 32-2                   ,1.0,T F Riggs High School                   ,176.0,189.0,176.0,189.0,1.0,1.0,,57501
Public School District,Aux Placement,1001,Plankinton 01-1,5,Aurora Plains Academy High School - 05,1400 E 10th St,Plankinton,SD,57368,Plankinton SD,1001.0,Plankinton 01-1               ,5.0,Aurora Plains Academy High School       ,8.0,2.0,8.0,2.0,1.0,1.0,,57368
Public School District,Secondary 9-12,1001,Plankinton 01-1,1,Plankinton High School - 01,404 E Davenport St,Plankinton,SD,57368,Plankinton SD,1001.0,Plankinton 01-1               ,1.0,Plankinton High School                  ,13.0,22.0,13.0,22.0,1.0,1.0,,57368
Public School District,Secondary 9-12,11005,Platte-Geddes 11-5,1,Platte - Geddes High School - 01,400 Illinois Ave,Platte,SD,57369-0140,Platte SD,11005.0,Platte-Geddes 11-5            ,1.0,Platte-Geddes H.S                       ,30.0,26.0,30.0,26.0,1.0,1.0,,57369
Public School District,Secondary 9-12,51004,Rapid City Area 51-4,41,Central High School - 41,433 Mt Rushmore Rd,Rapid City,SD,57701-2754,Rapid City SD,51004.0,Rapid City  Area 51-4         ,41.0,Central Hi Sch                          ,410.0,377.0,410.0,377.0,1.0,1.0,,57701
Public School District,Special Education,51004,Rapid City Area 51-4,44,Lincoln Building - 44,851 West St,Rapid City,SD,57701,Rapid City SD,51004.0,Rapid City  Area 51-4         ,44.0,Lincoln Building                        ,0.0,27.0,0.0,27.0,,1.0,,57701
Public School District,Alternative 7-12,51004,Rapid City Area 51-4,45,Rapid City High School - 45,601 Columbus St,Rapid City,SD,57701,Rapid City SD,51004.0,Rapid City  Area 51-4         ,45.0,Rapid City HS                           ,94.0,69.0,94.0,69.0,1.0,1.0,,57701
Public School District,Secondary 9-12,51004,Rapid City Area 51-4,42,Stevens High School - 42,4215 Raider Rd,Rapid City,SD,57702,Rapid City SD,51004.0,Rapid City  Area 51-4         ,42.0,Stevens Hi Sch                          ,376.0,356.0,376.0,356.0,1.0,1.0,,57702
Public School District,Alternative 7-12,56004,Redfield 56-4,4,George S. Mickelson Alternative High School - 04,17267 3rd St,Redfield,SD,57469,Redfield SD,56004.0,Redfield 56-4                 ,4.0,George S. Mickelson Alternative HS      ,2.0,14.0,2.0,14.0,1.0,1.0,,57469
Public School District,Secondary 9-12,56004,Redfield 56-4,1,Redfield High School - 01,502 E 2nd St,Redfield,SD,57469,Redfield SD,56004.0,Redfield 56-4                 ,1.0,Redfield High School                    ,38.0,39.0,38.0,39.0,1.0,1.0,,57469
Public School District,Secondary 9-12,54004,Rosholt 54-4,1,Rosholt High School - 01,202 Finley Ave,Rosholt,SD,57260-0106,Rosholt SD,54004.0,Rosholt 54-4                  ,1.0,Rosholt High School                     ,18.0,15.0,18.0,15.0,1.0,1.0,,57260
Public School District,Secondary 9-12,39004,Rutland 39-4,1,Rutland High School - 01,102 School St,Rutland,SD,57057,Rutland SD,39004.0,Rutland 39-4                  ,1.0,Rutland Hi Sch                          ,5.0,10.0,5.0,10.0,1.0,1.0,,57057
Public School District,Secondary 9-12,55005,Sanborn Central 55-5,1,Sanborn Central High School - 01,40405 SD Hwy 34,Forestburg,SD,57314,Forestburg SD,55005.0,Sanborn Central 55-5          ,1.0,Sanborn Central High School             ,8.0,12.0,8.0,12.0,1.0,1.0,,57314
Public School District,Secondary 9-12,4003,Scotland 04-3,1,Scotland High School - 01,711 4th St,Scotland,SD,57059,Scotland SD,4003.0,Scotland 04-3                 ,1.0,Scotland High School                    ,22.0,31.0,22.0,31.0,1.0,1.0,,57059
Public School District,Secondary 9-12,62005,Selby Area 62-5,1,Selby High School - 01,108 E Dakota St,Selby,SD,57472-0324,Selby SD,62005.0,Selby  Area 62-5              ,1.0,Selby Hi Sch                            ,19.0,19.0,19.0,19.0,1.0,1.0,,57472
Public School District,Aux Placement,49005,Sioux Falls 49-5,71,ARISE Shelter Care - 71,621 E Presentation St,Sioux Falls,SD,57104,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,71.0,Summit Oaks Shelter Care                ,1.0,0.0,1.0,0.0,1.0,,,57104
Public School District,Special Education,49005,Sioux Falls 49-5,41,Community Campus - 41,2101 W 41st St Ste 47,Sioux Falls,SD,57105,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,41.0,Community Campus                        ,0.0,42.0,0.0,42.0,,1.0,,57105
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,37,CTE - 37,4700 W Career Cir,Sioux Falls,SD,57107,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,37.0,Career and Technical Education Academy  ,0.0,1.0,0.0,1.0,,1.0,,57107
Public School District,Special Education,49005,Sioux Falls 49-5,45,Flex - 45,201 N West Ave,Sioux Falls,SD,57104,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,45.0,FLEX                                    ,3.0,4.0,3.0,4.0,1.0,1.0,,57104
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,2,Lincoln High School - 02,2900 S Cliff Ave,Sioux Falls,SD,57105-5125,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,2.0,Lincoln High School                     ,436.0,391.0,436.0,391.0,1.0,1.0,,57105
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,30,New Technology High School - 30,2205 N Career Ave,Sioux Falls,SD,57107,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,30.0,New Technology High School              ,71.0,69.0,71.0,69.0,1.0,1.0,,57107
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,3,Roosevelt High School - 03,6600 W 41st St,Sioux Falls,SD,57106-1287,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,3.0,Roosevelt High School                   ,532.0,498.0,532.0,498.0,1.0,1.0,,57106
Public School District,Special Education,49005,Sioux Falls 49-5,12,Structured Teaching - 12,201 N West Ave,Sioux Falls,SD,57104,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,12.0,Structured Teaching Program             ,2.0,3.0,2.0,3.0,1.0,1.0,,57104
Public School District,Special Education,49005,Sioux Falls 49-5,39,Success Academy - 39,201 N West Ave,Sioux Falls,SD,57104,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,39.0,Success Academy                         ,2.0,1.0,2.0,1.0,1.0,1.0,,57104
Public School District,Aux Placement,49005,Sioux Falls 49-5,40,Summit Oaks-Day - 40,621 E Presentation Ave,Sioux Falls,SD,57104,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,40.0,Summit Oaks Day Program                 ,0.0,1.0,0.0,1.0,,1.0,,57104
Public School District,Aux Placement,49005,Sioux Falls 49-5,48,Summit Oaks-Residential - 48,621 E Presentation Ave,Sioux Falls,SD,57104,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,48.0,Summit Oaks Residential Program         ,3.0,1.0,3.0,1.0,1.0,1.0,,57104
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,1,Washington High School - 01,501 N Sycamore Ave,Sioux Falls,SD,57110-6654,Sioux Falls SD,49005.0,Sioux Falls 49-5              ,1.0,Washington High School                  ,484.0,437.0,484.0,437.0,1.0,1.0,,57110
Public School District,Secondary 9-12,5005,Sioux Valley 05-5,1,Sioux Valley High School - 01,200 Hansina Ave,Volga,SD,57071-0278,Volga SD,5005.0,Sioux Valley 05-5             ,1.0,Sioux Valley High School                ,52.0,52.0,52.0,52.0,1.0,1.0,,57071
Public School District,Secondary 9-12,54002,Sisseton 54-2,1,Sisseton High School - 01,516 8th Ave W,Sisseton,SD,57262,Sisseton SD,54002.0,Sisseton 54-2                 ,1.0,Sisseton High School                    ,56.0,41.0,56.0,41.0,1.0,1.0,,57262
Public School District,Secondary 9-12,15003,Smee 15-3,1,Wakpala High School - 01,12250 SD Hwy 1806,Wakpala,SD,57658,Wakpala SD,15003.0,Smee 15-3                     ,1.0,Wakpala High School                     ,14.0,4.0,14.0,4.0,1.0,1.0,,57658
Public School District,Secondary 9-12,26005,South Central 26-5,1,South Central High School - 01,401 Birdsell St,Bonesteel,SD,57317,Bonesteel SD,26005.0,South Central 26-5            ,1.0,South Central High School               ,6.0,5.0,6.0,5.0,1.0,1.0,,57317
Public School District,Secondary 9-12,40002,Spearfish 40-2,6,Black Hills Education Connections - 06,2910 4th Ave,Spearfish,SD,57783,Spearfish SD,40002.0,Spearfish 40-2                ,6.0,Black Hills Education Connections       ,9.0,14.0,9.0,14.0,1.0,1.0,,57783
Public School District,Aux Placement,40002,Spearfish 40-2,10,Spearfish Academy at Canyon Hills High School - 10,2519 Windmill Dr,Spearfish,SD,57783,Spearfish SD,40002.0,Spearfish 40-2                ,10.0,Black Hills Academy at Canyon Hills H.S.,6.0,0.0,6.0,0.0,1.0,,,57783
Public School District,Secondary 9-12,40002,Spearfish 40-2,1,Spearfish High School - 01,1725 N Main,Spearfish,SD,57783,Spearfish SD,40002.0,Spearfish 40-2                ,1.0,Spearfish High School                   ,142.0,131.0,142.0,131.0,1.0,1.0,,57783
Public School District,Secondary 9-12,57001,Stanley County 57-1,1,Stanley County High School - 01,10 E Main Ave,Fort Pierre,SD,57532,Fort Pierre SD,57001.0,Stanley County 57-1           ,1.0,Stanley County High School              ,38.0,28.0,38.0,28.0,1.0,1.0,,57532
Public School District,Secondary 9-12,54006,Summit 54-6,1,Summit High School- 01,400 W Sherman Ave,Summit,SD,57266,Summit SD,54006.0,Summit 54-6                   ,1.0,Summit High School                      ,8.0,8.0,8.0,8.0,1.0,1.0,,57266
Public School District,Secondary 9-12,41005,Tea Area 41-5,3,Tea Area High School - 03,500 W Brian St,Tea,SD,57064,Tea SD,41005.0,Tea Area 41-5                 ,3.0,Tea Area High School                    ,93.0,107.0,93.0,107.0,1.0,1.0,,57064
Public School District,Secondary 9-12,20003,Timber Lake 20-3,1,Timber Lake High School - 01,500 Main St,Timber Lake,SD,57656,Timber Lake SD,20003.0,Timber Lake 20-3              ,1.0,Timber Lake High School 9-12            ,25.0,12.0,25.0,12.0,1.0,1.0,,57656
Public School District,Secondary 9-12,66001,Todd County 66-1,1,Todd County High School - 01,118 E Denver Dr,Mission,SD,57555-0726,Mission SD,66001.0,Todd County 66-1              ,1.0,Todd County HS                          ,48.0,87.0,48.0,87.0,1.0,1.0,,57555
Public School District,Secondary 9-12,33005,Tripp-Delmont 33-5,1,Tripp-Delmont High School - 01,105 S Sloan St,Tripp,SD,57376,Tripp SD,33005.0,Tripp-Delmont 33-5            ,1.0,Tripp-Delmont High School               ,16.0,10.0,16.0,10.0,1.0,1.0,,57376
Public School District,Secondary 9-12,49006,Tri-Valley 49-6,1,Tri-Valley High School - 01,46450 252nd St,Colton,SD,57018-5712,Colton SD,49006.0,Tri-Valley 49-6               ,1.0,Tri-Valley High School                  ,59.0,64.0,59.0,64.0,1.0,1.0,,57018
Public School District,Secondary 9-12,13001,Vermillion 13-1,1,Vermillion High School - 01,1001 E Main St,Vermillion,SD,57069-3314,Vermillion SD,13001.0,Vermillion 13-1               ,1.0,Vermillion High School                  ,101.0,85.0,101.0,85.0,1.0,1.0,,57069
Public School District,Secondary 9-12,60006,Viborg-Hurley 60-6,1,Viborg-Hurley High School - 01,203 W Park Ave,Viborg,SD,57070,Viborg SD,60006.0,Viborg-Hurley 60-6            ,1.0,Viborg-Hurley High School               ,32.0,27.0,32.0,27.0,1.0,1.0,,57070
Public School District,Secondary 9-12,11004,Wagner Community 11-4,1,Wagner High School - 01,101 Walnut Ave SW,Wagner,SD,57380,Wagner SD,11004.0,Wagner Community 11-4         ,1.0,Wagner High School                      ,56.0,51.0,56.0,51.0,1.0,1.0,,57380
Public School District,Secondary 9-12,51005,Wall 51-5,1,Wall High School - 01,401 S Blvd W,Wall,SD,57790,Wall SD,51005.0,Wall 51-5                     ,1.0,Wall High School                        ,16.0,23.0,16.0,23.0,1.0,1.0,,57790
Public School District,Secondary 9-12,6005,Warner 06-5,1,Warner High School - 01,110 1st Ave SW,Warner,SD,57479,Warner SD,6005.0,Warner 06-5                   ,1.0,Warner Hi Sch                           ,25.0,24.0,25.0,24.0,1.0,1.0,,57479
Public School District,Secondary 9-12,14004,Watertown 14-4,1,Watertown High School - 01,200 NE 9th St,Watertown,SD,57201-0730,Watertown SD,14004.0,Watertown 14-4                ,1.0,Watertown High School                   ,296.0,317.0,296.0,317.0,1.0,1.0,,57201
Public School District,Secondary 9-12,18003,Waubay 18-3,1,Waubay High School - 01,202 W School Rd,Waubay,SD,57273-2134,Waubay SD,18003.0,Waubay 18-3                   ,1.0,Waubay Hi Sch                           ,9.0,11.0,9.0,11.0,1.0,1.0,,57273
Public School District,Secondary 9-12,14005,Waverly 14-5,1,Waverly-South Shore High School - 01,319 Mary Pl,Waverly,SD,57201-9700,Waverly SD,14005.0,Waverly 14-5                  ,1.0,Waverly/South Shore High School         ,20.0,23.0,20.0,23.0,1.0,1.0,,57201
Public School District,Secondary 9-12,18005,Webster Area 18-5,1,Webster Area High School - 01,102 E 9th Ave,Webster,SD,57274,Webster SD,18005.0,Webster Area                  ,1.0,Webster Area High School                ,32.0,52.0,32.0,52.0,1.0,1.0,,57274
Public School District,Secondary 9-12,36002,Wessington Springs 36-2,1,Wessington Springs High School - 01,302 Dakota Ave N,Wessington Springs,SD,57382-0449,Wessington Springs SD,36002.0,Wessington Springs 36-2       ,1.0,Wessington Springs Hi Sch               ,18.0,11.0,18.0,11.0,1.0,1.0,,57382
Public School District,Virtual Secondary 9-12,36002,Wessington Springs 36-2,92,Wessington Springs High School Cyber School - 92,302 Dakota Ave N,Wessington Springs,SD,57382 ,Wessington Springs SD,36002.0,Wessington Springs 36-2       ,92.0,Wessington Springs High School Cyber Sch,6.0,10.0,6.0,10.0,1.0,1.0,,57382 
Public School District,Aux Placement,49007,West Central 49-7,7,Sequel Transition Academy - 07,46560 264th St,Sioux Falls,SD,57107,Sioux Falls SD,49007.0,West Central 49-7             ,7.0,Sequel Transition Academy               ,4.0,5.0,4.0,5.0,1.0,1.0,,57107
Public School District,Secondary 9-12,49007,West Central 49-7,1,West Central High School - 01,705 E 2nd St,Hartford,SD,57033-0730,Hartford SD,49007.0,West Central 49-7             ,1.0,West Central Hi Sch                     ,110.0,78.0,110.0,78.0,1.0,1.0,,57033
Public School District,Secondary 9-12,1003,White Lake 01-3,1,White Lake High School - 01,502 E Division St,White Lake,SD,57383-0246,White Lake SD,1003.0,White Lake 01-3               ,1.0,White Lake High School                  ,9.0,11.0,9.0,11.0,1.0,1.0,,57383
Public School District,Secondary 9-12,47001,White River 47-1,1,White River High School - 01,501 E 3rd St,White River,SD,57579,White River SD,47001.0,White River 47-1              ,1.0,White River High School                 ,25.0,29.0,25.0,29.0,1.0,1.0,,57579
Public School District,Secondary 9-12,12003,Willow Lake 12-3,1,Willow Lake High School - 01,400 Garfield Ave,Willow Lake,SD,57278,Willow Lake SD,12003.0,Willow Lake 12-3              ,1.0,Willow Lake Hi Sch                      ,16.0,13.0,16.0,13.0,1.0,1.0,,57278
Public School District,Secondary 9-12,54007,Wilmot 54-7,1,Wilmot High School - 01,800 Ordway St,Wilmot,SD,57279,Wilmot SD,54007.0,Wilmot 54-7                   ,1.0,Wilmot Hi Sch                           ,19.0,18.0,19.0,18.0,1.0,1.0,,57279
Public School District,Secondary 9-12,59002,Winner 59-2,1,Winner High School - 01,431 E 7th St,Winner,SD,57580,Winner SD,59002.0,Winner 59-2                   ,1.0,Winner High School                      ,42.0,54.0,42.0,54.0,1.0,1.0,,57580
Public School District,Secondary 9-12,2006,Wolsey-Wessington 02-6,1,Wolsey-Wessington High School - 01,375 Ash St SE,Wolsey,SD,57384,Wolsey SD,2006.0,Wolsey-Wessington 02-6        ,1.0,Wolsey-Wessington High School           ,25.0,24.0,25.0,24.0,1.0,1.0,,57384
Public School District,Secondary 9-12,55004,Woonsocket 55-4,1,Woonsocket High School - 01,101 N 2nd Ave,Woonsocket,SD,57385,Woonsocket SD,55004.0,Woonsocket 55-4               ,1.0,Woonsocket High School                  ,16.0,15.0,16.0,15.0,1.0,1.0,,57385
Public School District,Secondary 9-12,63003,Yankton 63-3,1,Yankton High School - 01,1801 Summit St,Yankton,SD,57078,Yankton SD,63003.0,Yankton 63-3                  ,1.0,Yankton Hi Sch                          ,197.0,246.0,197.0,246.0,1.0,1.0,,57078
